
---------------------
 G-SHIFT RESULTS
---------------------
File selected:  nbr_tddft.out
States:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]
States multiplicity: 
- triplets = 97: [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]
g-factor (x y z dimensions) in ppt: -15.432 -14.698 -1.252

------------------------------
 SUM-OVER-STATE ANALYSIS
------------------------------
Technique used: Effective Hamiltonian
cut-offs g-value (%):  0.5
 state     gxx     gyy    gzz
     2   3.752  -0.263 -0.263
     3  -0.263   3.752 -0.263
     4   0.000   0.000  0.000
     5   0.000   0.000  0.000
     6  -0.289  -0.289 -0.000
     7  -0.036 -13.129 -0.036
     8 -13.129  -0.036 -0.036
     9   0.000   0.000  0.000
    11  -6.912  -0.190 -0.190
    12  -0.190  -6.912 -0.190
    13   4.032  -0.013 -0.013
    14  -0.013   4.032 -0.013
    15   0.000   0.000  0.000
    16   4.442  -0.021 -0.021
    17  -0.021   4.442 -0.021
    18   0.000   0.000  0.000
    19   0.000   0.000  0.000
    20   0.000   0.000  0.000
    21  -0.060  -0.060  0.000
    22  -0.002   0.810 -0.002
    23   0.810  -0.002 -0.002
    24   0.000  -0.000 -0.000
    25  -0.000   0.000 -0.000
    26  -7.864  -0.025 -0.025
    27  -0.025  -7.864 -0.025
    28   1.100  -0.003 -0.003
    29  -0.003   1.100 -0.003
    30  -0.009  -3.208 -0.009
    31  -3.208  -0.009 -0.009
    32   0.000   0.000  0.000
    33   0.000   0.000  0.000
    34   0.000   0.000  0.000
    35   0.000   0.000  0.000
    36   0.000   0.000  0.000
    37   0.002  -0.006 -0.006
    38  -0.006   0.002 -0.006
    39   0.000   0.000  0.000
    40  -0.000  -0.000  0.000
    41  -0.062  -0.062  0.000
    42   0.000   0.000  0.000
    43  -0.110  -0.000 -0.000
    44  -0.000  -0.110 -0.000
    45   0.000   0.000  0.000
    46  -0.000  -0.000 -0.000
    47  -0.000  -0.000 -0.000
    48  -0.008  -1.068 -0.008
    49  -1.068  -0.008 -0.008
    50   0.000   0.000  0.000
    51  -0.994  -0.041 -0.041
    52  -0.041  -0.994 -0.041
    53  -0.007   3.226 -0.007
    54   3.226  -0.007 -0.007
    55   0.000   0.000  0.000
    56   0.000   0.000  0.000
    57   0.000   0.000  0.000
    58  -0.028  -0.028  0.000
    59  -0.009  -0.464 -0.009
    60  -0.464  -0.009 -0.009
    61   0.000   0.000  0.000
    62   0.000   0.000  0.000
    63   0.000   0.000  0.000
    64   0.000   0.000  0.000
    65   0.000   0.000  0.000
    66   0.000   0.000  0.000
    67   2.081  -0.007 -0.007
    68  -0.007   2.081 -0.007
    69   0.000  -0.000 -0.000
    70  -0.000   0.000 -0.000
    71   0.000   0.000  0.000
    72  -0.002  -0.002  0.000
    73   0.000   0.000  0.000
    74   0.000   0.000  0.000
    75   0.485  -0.002 -0.002
    76  -0.002   0.485 -0.002
    77   0.000   0.000  0.000
    78   0.000   0.000  0.000
    79  -0.002  -0.002  0.000
    80   0.000   0.000  0.000
    81   0.000   0.000  0.000
    84  -0.000   0.028 -0.000
    85   0.028  -0.000 -0.000
    86  -0.073  -0.001 -0.001
    87  -0.001  -0.073 -0.001
    88   0.000   0.000  0.000
    89   0.000   0.000  0.000
    90  -0.000  -0.000  0.000
    91   0.000   0.000  0.000
    92  -0.001   0.459 -0.001
    93   0.459  -0.001 -0.001
    94   0.000   0.000  0.000
    95  -0.000  -0.368 -0.000
    96  -0.368  -0.000 -0.000
    97   0.000   0.000  0.000
    98   0.000   0.000  0.000
    99   0.000   0.000  0.000
   100  -0.000  -0.314 -0.000

