--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  mni_6_6.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
-1.669 -1.653 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part       unpairedorb amplitude      e    socc     lk   s2
    1      1  1A1   0.0   0.0 23,24,25,26,27,28       1.0    0.0     0.0    0.0 12.0
    2      1  1B2  0.15 99.85 23,24,25,26,27,30      0.95  4.137  147.74 -1.041 12.0
    3      1  1B1  0.15 99.85 23,24,25,26,27,29      0.95  4.137  147.74 -1.041 12.0
    5      1  2B2 99.83  0.17 22,23,24,25,26,27      0.93  6.668  21.246  0.067 12.0
    6      1  2B1 99.83  0.17 21,23,24,25,26,27      0.93  6.668  21.246 -0.067 12.0
   11      1  3B1  0.01 99.99 23,24,25,26,27,36      0.95  9.057  56.053    0.2 12.0
   12      1  3B2  0.01 99.99 23,24,25,26,27,37      0.95  9.057  56.053    0.2 12.0
   14      1  4B2   0.2  99.8 23,24,25,26,28,30      0.95 11.046    0.81 -0.478 12.0
   15      1  4B1   0.2  99.8 23,24,25,26,28,29      0.95 11.046    0.81 -0.478 12.0
   22      1  6B1  0.99 99.01 24,25,26,27,28,29      0.68 11.558  31.646 -0.757 12.0
   22      2  6B1  0.99 99.01 23,25,26,27,28,30      0.68 11.558  31.646 -0.757 12.0
   23      1  6B2  0.99 99.01 23,25,26,27,28,29      0.68 11.558  31.646 -0.757 12.0
   23      2  6B2  0.99 99.01 24,25,26,27,28,30      0.68 11.558  31.646 -0.757 12.0
   24      1  7B2  98.4   1.6 20,23,24,25,27,28      0.98 12.306  37.033 -0.456 12.0
   25      1  7B1  98.4   1.6 20,23,24,26,27,28      0.98 12.306  37.033 -0.456 12.0
   29      1  8B1  0.94 99.06 23,24,25,26,27,38      0.95 12.498  16.716  0.001 12.0
   30      1  8B2  0.94 99.06 23,24,25,26,27,39      0.95 12.498  16.716 -0.001 12.0
   33      1 10B2 99.51  0.49 21,23,25,26,27,28      0.69 12.642  15.861 -0.154 12.0
   33      2 10B2 99.51  0.49 22,24,25,26,27,28      0.69 12.642  15.861 -0.154 12.0
   34      1 10B1 99.51  0.49 21,24,25,26,27,28      0.69 12.642  15.861  0.154 12.0
   34      2 10B1 99.51  0.49 22,23,25,26,27,28      0.69 12.642  15.861  0.154 12.0
   38      1 11B2 99.57  0.43 22,23,24,25,26,28      0.92 12.775  16.924 -0.194 12.0
   39      1 11B1 99.57  0.43 21,23,24,25,26,28      0.92 12.775  16.924  0.194 12.0
   42      1 12B2  0.34 99.66 23,24,25,27,28,32      0.95 14.084 133.572  0.401 12.0
   43      1 12B1  0.34 99.66 23,24,26,27,28,32      0.95 14.084 133.572 -0.401 12.0
   50      1 13B2  0.02 99.98 23,24,25,27,28,31      0.99 15.693    40.1 -0.106 12.0
   51      1 13B1  0.02 99.98 23,24,26,27,28,31      0.99 15.693    40.1  0.106 12.0
   55      1 14B1  0.01 99.99 23,24,25,26,27,44      0.96 16.795  71.262  0.267 12.0
   56      1 14B2  0.01 99.99 23,24,25,26,27,45      0.96 16.795  71.262  0.267 12.0
   61      1 16B1   0.0 100.0 23,24,26,27,28,33      0.69 17.301 138.175  0.034 12.0
   61      2 16B1   0.0 100.0 23,24,25,27,28,34      0.69 17.301 138.175  0.034 12.0
   62      1 16B2   0.0 100.0 23,24,26,27,28,34      0.69 17.301 138.175 -0.034 12.0
   62      2 16B2   0.0 100.0 23,24,25,27,28,33      0.69 17.301 138.175 -0.034 12.0
   66      1 17B2   0.0 100.0 23,24,25,26,28,37      0.92 17.667 173.852 -0.089 12.0
   67      1 17B1   0.0 100.0 23,24,25,26,28,36      0.92 17.667 173.852 -0.089 12.0
   74      1 19B1   0.0 100.0 23,25,26,27,28,37      0.67 18.312  93.715 -0.127 12.0
   74      2 19B1   0.0 100.0 24,25,26,27,28,36      0.67 18.312  93.715 -0.127 12.0
   75      1 19B2   0.0 100.0 24,25,26,27,28,37      0.67 18.312  93.715  0.127 12.0
   75      2 19B2   0.0 100.0 23,25,26,27,28,36      0.67 18.312  93.715  0.127 12.0
   77      1 20B2  0.01 99.99 23,24,25,27,28,35      0.85 19.306  89.995 -0.371 12.0
   77      2 20B2  0.01 99.99 23,24,25,27,28,40      0.47 19.306  89.995 -0.371 12.0
