--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  ni_4_12.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
1.861 1.861 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e   socc     lk  s2
    1      1  1A2  1.98  1.62       16,17      0.97    0.0    0.0    0.0 2.0
    2      1  1B2  5.56  3.35       13,17      0.87  3.962 27.848 -0.923 2.0
    3      1  1B1  5.56  3.35       13,16      0.87  3.962 27.848 -0.923 2.0
    4      1  2B1 32.92  3.98       16,18      0.74  4.303 27.228  0.708 2.0
    4      2  2B1 32.92  3.98 15,16,17,18      0.41  4.303 27.228  0.708 2.0
    5      1  2B2 32.92  3.98       17,18      0.74  4.303 27.228 -0.708 2.0
    5      2  2B2 32.92  3.98 14,16,17,18      0.41  4.303 27.228 -0.708 2.0
   14      1  4B1 91.23  1.23 15,16,17,18      0.64  7.387 22.169  0.167 2.0
   14      2  4B1 91.23  1.23 15,16,17,18      0.49  7.387 22.169  0.167 2.0
   14      3  4B1 91.23  1.23       14,18      0.41  7.387 22.169  0.167 2.0
   15      1  4B2 91.23  1.23 14,16,17,18      0.64  7.387 22.169 -0.167 2.0
   15      2  4B2 91.23  1.23 14,16,17,18      0.49  7.387 22.169 -0.167 2.0
   15      3  4B2 91.23  1.23       15,18      0.41  7.387 22.169 -0.167 2.0
   18      1  5B1 99.07  0.28 15,16,17,18      0.84  7.489  5.957  0.747 2.0
   19      1  5B2 99.07  0.28 14,16,17,18      0.84  7.489  5.958  0.747 2.0
   23      1  8B2 76.78  4.89       15,18      0.59  9.173   16.1 -0.051 2.0
   23      2  8B2 76.78  4.89 14,16,17,18      0.49  9.173   16.1 -0.051 2.0
   23      3  8B2 76.78  4.89       17,18       0.3  9.173   16.1 -0.051 2.0
   24      1  6B1 76.78  4.89       14,18      0.59  9.173   16.1  0.051 2.0
   24      2  6B1 76.78  4.89 15,16,17,18      0.49  9.173   16.1  0.051 2.0
   24      3  6B1 76.78  4.89       16,18       0.3  9.173   16.1  0.051 2.0
   26      1  9B2 86.34   3.1       15,18      0.67 10.059  8.263 -0.009 2.0
   26      2  9B2 86.34   3.1       15,18      0.58 10.059  8.263 -0.009 2.0
   27      1  7B1 86.34   3.1       14,18      0.67 10.059  8.263  0.009 2.0
   27      2  7B1 86.34   3.1       14,18      0.58 10.059  8.263  0.009 2.0
   31      1  8B1 31.05   7.4       16,18      0.74 11.687  14.12  0.106 2.0
   31      2  8B1 31.05   7.4       12,16      0.44 11.687  14.12  0.106 2.0
   32      1 10B2 31.05   7.4       17,18      0.74 11.687  14.12  0.106 2.0
   32      2 10B2 31.05   7.4       12,17      0.44 11.687  14.12  0.106 2.0
   47      1 12B2  69.9 10.52       12,17      0.59 13.788  0.595  0.063 2.0
   47      2 12B2  69.9 10.52       17,18      0.42 13.788  0.595  0.063 2.0
   47      3 12B2  69.9 10.52       11,17      0.39 13.788  0.595  0.063 2.0
   48      1 10B1  69.9 10.52       12,16      0.59 13.788  0.595  0.063 2.0
   48      2 10B1  69.9 10.52       16,18      0.42 13.788  0.595  0.063 2.0
