--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  seo_4_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
22.01 22.545 -0.1

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e    socc     lk  s2
    1      1  1A2 17.57  5.64       20,22      0.88    0.0     0.0    0.0 2.0
    2      1  1A1 99.86  0.14       19,22      0.94  3.005 317.766  0.052 2.0
    4      1  2A1 99.88  0.12       18,20      0.94  3.182 785.412  0.025 2.0
    5      1  1B2  0.01  0.28       21,22       1.0  4.661 684.784 -1.111 2.0
    6      1  1B1  0.22  0.76       20,21       1.0  4.722  697.29  1.077 2.0
    9      1  2B2  0.66 99.33       22,23      0.95  9.091 548.927 -0.576 2.0
   12      1  3A1  0.09 99.91       21,23      0.72  9.289    1.02 -0.001 2.0
   12      2  3A1  0.09 99.91       21,23      0.62  9.289    1.02 -0.001 2.0
   13      1  2B1  0.84 99.16       20,23      0.95  9.382 569.209  0.586 2.0
   15      1  3B1  95.4  4.45       18,21      0.96  11.26 222.627 -0.248 2.0
   16      1  3B2 96.06  3.94       19,21      0.97 11.284 188.154  0.208 2.0
   18      1  4B1 61.01 38.89       17,20      0.77 13.579  95.283   0.33 2.0
   18      2  4B1 61.01 38.89       22,28       0.4 13.579  95.283   0.33 2.0
   19      1  4B2 60.26 39.67       17,22      0.76  13.64 114.758  0.352 2.0
   19      2  4B2 60.26 39.67       22,27      0.41  13.64 114.758  0.352 2.0
   23      1  5B1  0.28 99.72       22,28      0.72 14.835  11.401   0.04 2.0
   23      2  5B1  0.28 99.72       20,27      0.67 14.835  11.401   0.04 2.0
   24      1  5B2  0.52 99.48       22,27      0.71 14.836  18.283 -0.036 2.0
   24      2  5B2  0.52 99.48       20,28      0.68 14.836  18.283 -0.036 2.0
   28      1  7B2  0.01 99.99       22,26       0.9  15.36 433.345 -0.071 2.0
   30      1  7A1   0.0 100.0       22,24      0.82 15.544 237.098  0.008 2.0
   30      2  7A1   0.0 100.0       20,25      0.45 15.544 237.098  0.008 2.0
