--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  gaas_3_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
-7.112 -7.112 -0.064

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e     socc     lk   s2
    1      1  1A2   0.0   0.0    31,32,33       1.0    0.0      0.0    0.0 3.75
    2      1  1B1  2.32 97.68    32,33,35      0.97  5.115  402.175 -0.812 3.75
    3      1  1B2  2.32 97.68    32,33,34      0.97  5.115  402.175 -0.812 3.75
    9      1  2B1 53.56 46.44    31,32,36       0.6  6.499  350.644  0.374 3.75
    9      2  2B1 53.56 46.44    30,31,32      0.56  6.499  350.644  0.374 3.75
    9      3  2B1 53.56 46.44    29,31,32      0.48  6.499  350.644  0.374 3.75
   10      1  2B2 53.56 46.44    31,33,36       0.6  6.499  350.644 -0.374 3.75
   10      2  2B2 53.56 46.44    30,31,33      0.56  6.499  350.644 -0.374 3.75
   10      3  2B2 53.56 46.44    29,31,33      0.48  6.499  350.644 -0.374 3.75
   11      1  3B1 36.79 63.21    31,32,36      0.73  7.103  404.117  -0.46 3.75
   11      2  3B1 36.79 63.21    30,31,32      0.52  7.103  404.117  -0.46 3.75
   12      1  3B2 36.79 63.21    31,33,36      0.73  7.103  404.117   0.46 3.75
   12      2  3B2 36.79 63.21    30,31,33      0.52  7.103  404.117   0.46 3.75
   15      1  4B1 85.04 14.96    29,31,32      0.66  9.374  185.645  0.473 3.75
   15      2  4B1 85.04 14.96    30,31,32      0.64  9.374  185.645  0.473 3.75
   16      1  4B2 85.04 14.96    29,31,33      0.66  9.374  185.645  0.473 3.75
   16      2  4B2 85.04 14.96    30,31,33      0.64  9.374  185.645  0.473 3.75
   17      1  5B1  1.44 98.56    31,32,37       0.9 10.263   36.828  0.514 3.75
   18      1  5B2  1.44 98.56    31,33,37       0.9 10.263   36.828 -0.514 3.75
   24      1  8B2  0.05 99.95    32,33,40      0.77 11.192   41.841  0.224 3.75
   25      1  6B1  0.05 99.95    32,33,41      0.77 11.192   41.841  0.224 3.75
   30      1  7B1 11.25 88.75    31,33,38       0.5 13.028  313.049 -1.133 3.75
   30      2  7B1 11.25 88.75    31,32,39       0.5 13.028  313.049 -1.133 3.75
   30      3  7B1 11.25 88.75    32,33,41      0.41 13.028  313.049 -1.133 3.75
   30      4  7B1 11.25 88.75    29,31,32      0.33 13.028  313.049 -1.133 3.75
   30      5  7B1 11.25 88.75    31,32,43      0.33 13.028  313.049 -1.133 3.75
   31      1  9B2 11.25 88.75    31,33,39       0.5 13.028  313.049  1.133 3.75
   31      2  9B2 11.25 88.75    31,32,38       0.5 13.028  313.049  1.133 3.75
   31      3  9B2 11.25 88.75    32,33,40      0.41 13.028  313.049  1.133 3.75
   31      4  9B2 11.25 88.75    29,31,33      0.33 13.028  313.049  1.133 3.75
   31      5  9B2 11.25 88.75    31,33,43      0.33 13.028  313.049  1.133 3.75
   33      1  8B1  1.58 98.42    31,32,43      0.66 13.342  326.453 -0.024 3.75
   33      2  8B1  1.58 98.42    31,32,42      0.55 13.342  326.453 -0.024 3.75
   34      1 10B2  1.58 98.42    31,33,43      0.66 13.342  326.453  0.024 3.75
   34      2 10B2  1.58 98.42    31,33,42      0.55 13.342  326.453  0.024 3.75
   42      1 10B1  0.03 99.97    32,33,45      0.69 14.545  415.521  0.004 3.75
   42      2 10B1  0.03 99.97    32,33,49      0.59 14.545  415.521  0.004 3.75
   43      1 12B2  0.03 99.97    32,33,44      0.69 14.545  415.521  0.004 3.75
   43      2 12B2  0.03 99.97    32,33,48      0.59 14.545  415.521  0.004 3.75
   44      1 11B1   0.0 100.0    31,32,42      0.71 14.597  115.664 -0.053 3.75
   44      2 11B1   0.0 100.0    31,32,43      0.51 14.597  115.664 -0.053 3.75
   45      1 13B2   0.0 100.0    31,33,42      0.71 14.597  115.664  0.053 3.75
   45      2 13B2   0.0 100.0    31,33,43      0.51 14.597  115.664  0.053 3.75
   47      1 12B1  3.92 96.08    31,33,46      0.52 14.856    3.787 -0.935 3.75
   47      2 12B1  3.92 96.08    31,32,47      0.52 14.856    3.787 -0.935 3.75
   47      3 12B1  3.92 96.08    32,33,45      0.44 14.856    3.787 -0.935 3.75
   48      1 14B2  3.92 96.08    31,33,47      0.52 14.856    3.787  0.935 3.75
   48      2 14B2  3.92 96.08    31,32,46      0.52 14.856    3.787  0.935 3.75
   48      3 14B2  3.92 96.08    32,33,44      0.44 14.856    3.787  0.935 3.75
   50      1 15B2  2.47 97.53    32,33,48      0.74 15.551  489.895 -0.838 3.75
   50      2 15B2  2.47 97.53    32,33,44      0.51 15.551  489.895 -0.838 3.75
   51      1 13B1  2.47 97.53    32,33,49      0.74 15.551  489.895 -0.838 3.75
   51      2 13B1  2.47 97.53    32,33,45      0.51 15.551  489.895 -0.838 3.75
   57      1 14B1  0.11 99.89    31,32,50      0.91 16.979   591.37  0.482 3.75
   58      1 16B2  0.11 99.89    31,33,50      0.91 16.979   591.37 -0.482 3.75
   62      1 17B2  0.52 99.48    32,33,51       0.9 18.195  277.632 -0.446 3.75
   63      1 15B1  0.52 99.48    32,33,52       0.9 18.195  277.632 -0.446 3.75
   65      1 16B1  0.37 99.63    31,32,53      0.91 18.694  474.139  0.486 3.75
   66      1 18B2  0.37 99.63    31,33,53      0.91 18.694  474.139 -0.486 3.75
   69      1 17B1  0.01 99.99    31,32,54      0.97 26.036   24.125  0.422 3.75
   70      1 19B2  0.01 99.99    31,33,54      0.97 26.036   24.125 -0.422 3.75
   72      1 18B1 99.72  0.28    28,32,33       1.0 27.536   80.576  0.139 3.75
   73      1 20B2 99.72  0.28    27,32,33       1.0 27.536   80.576  0.139 3.75
   77      1 19B1  0.11 99.89    31,32,57      0.77 28.412  175.447 -0.137 3.75
   77      2 19B1  0.11 99.89    32,33,56      0.57 28.412  175.447 -0.137 3.75
   78      1 21B2  0.11 99.89    31,33,57      0.77 28.412  175.447  0.137 3.75
   78      2 21B2  0.11 99.89    32,33,55      0.57 28.412  175.447  0.137 3.75
   79      1 20B1  0.23 99.77    32,33,56       0.8 28.708   244.51 -0.005 3.75
   79      2 20B1  0.23 99.77    31,32,57      0.57 28.708   244.51 -0.005 3.75
   80      1 22B2  0.23 99.77    32,33,55       0.8 28.708   244.51 -0.005 3.75
   80      2 22B2  0.23 99.77    31,33,57      0.57 28.708   244.51 -0.005 3.75
   87      1 21B1 100.0   0.0    26,31,32       1.0 30.314   50.607 -0.002 3.75
   88      1 23B2 100.0   0.0    26,31,33       1.0 30.314   50.607 -0.002 3.75
   95      1 22B1 99.98  0.02    25,31,33       0.7 30.451   26.828  0.057 3.75
   95      2 22B1 99.98  0.02    24,31,32       0.7 30.451   26.828  0.057 3.75
   96      1 26B2 99.98  0.02    24,31,33       0.7 30.451   26.828 -0.057 3.75
   96      2 26B2 99.98  0.02    25,31,32       0.7 30.451   26.828 -0.057 3.75
   99      1 23B1  0.02 99.98    31,33,58       0.7 31.171    1.381   0.01 3.75
   99      2 23B1  0.02 99.98    31,32,59       0.7 31.171    1.381   0.01 3.75
  100      1 29B2  0.02 99.98    31,33,59       0.7 31.171    1.381  -0.01 3.75
  100      2 29B2  0.02 99.98    31,32,58       0.7 31.171    1.381  -0.01 3.75
  107      1 26B1   0.1  99.9    31,33,61      0.66 33.548    2.975  0.261 3.75
  107      2 26B1   0.1  99.9    31,32,60      0.66 33.548    2.975  0.261 3.75
  108      1 32B2   0.1  99.9    31,33,60      0.66 33.548    2.975 -0.261 3.75
  108      2 32B2   0.1  99.9    31,32,61      0.66 33.548    2.975 -0.261 3.75
  109      1 33B2   0.0 100.0    32,33,64      0.97 34.469   12.184  0.074 3.75
  110      1 27B1   0.0 100.0    32,33,65      0.97 34.469   12.184  0.074 3.75
  121      1 29B1  0.28 99.72    31,33,67      0.61  35.37     1.18  0.443 3.75
  121      2 29B1  0.28 99.72    31,32,68      0.61  35.37     1.18  0.443 3.75
  122      1 35B2  0.28 99.72    31,33,68      0.61  35.37     1.18  0.443 3.75
  122      2 35B2  0.28 99.72    31,32,67      0.61  35.37     1.18  0.443 3.75
  126      1 30B1  0.01 99.99    31,32,66      0.86 35.654   12.135  0.001 3.75
  127      1 36B2  0.01 99.99    31,33,66      0.86 35.654   12.135 -0.001 3.75
  132      1 31B1  0.38 99.62    32,33,70      0.94 36.548   69.534   0.49 3.75
  133      1 37B2  0.38 99.62    32,33,69      0.94 36.548   69.534   0.49 3.75
  142      1 34B1  0.01 99.99    31,33,74      0.57 40.116    1.262 -0.058 3.75
  142      2 34B1  0.01 99.99    31,32,73      0.57 40.116    1.262 -0.058 3.75
  142      3 34B1  0.01 99.99    31,33,73       0.4 40.116    1.262 -0.058 3.75
  142      4 34B1  0.01 99.99    31,32,74       0.4 40.116    1.262 -0.058 3.75
  143      1 35B1  0.01 99.99    31,33,73      0.57 40.116    1.262 -0.058 3.75
  143      2 35B1  0.01 99.99    31,32,74      0.57 40.116    1.262 -0.058 3.75
  143      3 35B1  0.01 99.99    31,33,74       0.4 40.116    1.262 -0.058 3.75
  143      4 35B1  0.01 99.99    31,32,73       0.4 40.116    1.262 -0.058 3.75
  147      1 36B1  0.08 99.92    31,32,75      0.95 42.124  430.395 -0.115 3.75
  148      1 40B2  0.08 99.92    31,33,75      0.95 42.124  430.395  0.115 3.75
  149      1 37B1   0.1  99.9    32,33,77      0.82 45.196  187.763 -0.022 3.75
  149      2 37B1   0.1  99.9    31,32,78      0.55 45.196  187.763 -0.022 3.75
  150      1 41B2   0.1  99.9    32,33,76      0.82 45.196  187.763 -0.022 3.75
  150      2 41B2   0.1  99.9    31,33,78      0.55 45.196  187.763 -0.022 3.75
  155      1 38B1  0.35 99.65    31,32,78      0.82  45.73  316.688  0.064 3.75
  155      2 38B1  0.35 99.65    32,33,77      0.56  45.73  316.688  0.064 3.75
  156      1 42B2  0.35 99.65    31,33,78      0.82  45.73  316.688 -0.064 3.75
  156      2 42B2  0.35 99.65    32,33,76      0.56  45.73  316.688 -0.064 3.75
  162      1 45B2 99.75  0.25    19,31,33      0.68  46.37    6.945  0.425 3.75
  162      2 45B2 99.75  0.25    20,32,33      0.45  46.37    6.945  0.425 3.75
  162      3 45B2 99.75  0.25    23,31,32      0.41  46.37    6.945  0.425 3.75
  162      4 45B2 99.75  0.25    22,31,33      0.41  46.37    6.945  0.425 3.75
  163      1 39B1 99.75  0.25    19,31,32      0.68  46.37    6.945  0.425 3.75
  163      2 39B1 99.75  0.25    21,32,33      0.45  46.37    6.945  0.425 3.75
  163      3 39B1 99.75  0.25    22,31,32      0.41  46.37    6.945  0.425 3.75
  163      4 39B1 99.75  0.25    23,31,33      0.41  46.37    6.945  0.425 3.75
  165      1 46B2 99.44  0.56    20,32,33      0.78  46.43    41.82  0.853 3.75
  165      2 46B2 99.44  0.56    23,31,32      0.44  46.43    41.82  0.853 3.75
  165      3 46B2 99.44  0.56    22,31,33      0.44  46.43    41.82  0.853 3.75
  166      1 40B1 99.44  0.56    21,32,33      0.78  46.43    41.82 -0.853 3.75
  166      2 40B1 99.44  0.56    22,31,32      0.44  46.43    41.82 -0.853 3.75
  166      3 40B1 99.44  0.56    23,31,33      0.44  46.43    41.82 -0.853 3.75
  170      1 47B2 99.99  0.01    19,31,33      0.73 46.801   22.666  0.029 3.75
  170      2 47B2 99.99  0.01    20,32,33      0.43 46.801   22.666  0.029 3.75
  170      3 47B2 99.99  0.01    23,31,32      0.37 46.801   22.666  0.029 3.75
  170      4 47B2 99.99  0.01    22,31,33      0.37 46.801   22.666  0.029 3.75
  171      1 41B1 99.99  0.01    19,31,32      0.73 46.801   22.666  0.029 3.75
  171      2 41B1 99.99  0.01    21,32,33      0.43 46.801   22.666  0.029 3.75
  171      3 41B1 99.99  0.01    22,31,32      0.37 46.801   22.666  0.029 3.75
  171      4 41B1 99.99  0.01    23,31,33      0.37 46.801   22.666  0.029 3.75
  177      1 48B2   0.0 100.0    32,33,79       0.9  68.81 1878.939 -0.105 3.75
  178      1 42B1   0.0 100.0    32,33,80       0.9  68.81 1878.939 -0.105 3.75
  180      1 49B2   0.0 100.0    31,33,83      0.88 70.735   2547.5  0.032 3.75
  180      2 49B2   0.0 100.0    31,33,86      0.46 70.735   2547.5  0.032 3.75
  181      1 43B1   0.0 100.0    31,32,83      0.88 70.735   2547.5 -0.032 3.75
  181      2 43B1   0.0 100.0    31,32,86      0.46 70.735   2547.5 -0.032 3.75
  184      1 50B2   0.0 100.0    32,33,84       0.9 73.576  743.536 -0.022 3.75
  185      1 44B1   0.0 100.0    32,33,85       0.9 73.576  743.536 -0.022 3.75
  188      1 51B2   0.0 100.0    31,33,81       0.7  74.01   53.131 -0.016 3.75
  188      2 51B2   0.0 100.0    31,32,82       0.7  74.01   53.131 -0.016 3.75
  189      1 47B1   0.0 100.0    31,33,82       0.7  74.01   53.131 -0.016 3.75
  189      2 47B1   0.0 100.0    31,32,81       0.7  74.01   53.131 -0.016 3.75
  195      1 48B1   0.0 100.0    31,32,86      0.88 77.445  908.475  0.055 3.75
  195      2 48B1   0.0 100.0    31,32,83      0.46 77.445  908.475  0.055 3.75
  196      1 52B2   0.0 100.0    31,33,86      0.88 77.445  908.475 -0.055 3.75
  196      2 52B2   0.0 100.0    31,33,83      0.46 77.445  908.475 -0.055 3.75
  199      1 49B1   0.0 100.0    31,32,88      0.69 92.389   63.756  0.429 3.75
  199      2 49B1   0.0 100.0    31,33,87      0.69 92.389   63.756  0.429 3.75
  200      1 55B2   0.0 100.0    31,32,87      0.69 92.389   63.756 -0.429 3.75
  200      2 55B2   0.0 100.0    31,33,88      0.69 92.389   63.756 -0.429 3.75

States multiplicity: 
- 0 Singlet states:  []
- 0 Doublet states:  []
- 0 Triplet states:  []
- 200 Quartet states:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
- 0 Quintet states:  []
 
------------------------
 IMPROVED ACTIVE SPACE 
------------------------
Initial active space (HOMO = 33 ): [ 3 , 3 ] ; [31, 32, 33]
Final active space (HOMO = 33 ): [ 27 , 66 ] ; [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 69, 70, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]
 
--------------------------------
 SUM-OVER-STATE ANALYSIS
--------------------------------
 state     gxx     gyy  gzz
     1   0.000   0.000  0.0
     2  -1.182  31.684 -0.0
     3  31.684   1.182  0.0
     4  -0.000  -0.000  0.0
     5  -0.000  -0.000  0.0
     6  -0.000   0.000 -0.0
     7   0.000  -0.000 -0.0
     8  -0.000  -0.000 -0.0
     9   0.407 -10.020  0.0
    10  10.020   0.407  0.0
    11  -0.520  12.987  0.0
    12 -12.987  -0.520  0.0
    13   0.000   0.000  0.0
    14   0.000   0.000 -0.0
    15   0.188  -4.644  0.0
    16  -4.644  -0.188 -0.0
    17   0.037  -0.915 -0.0
    18   0.915   0.037 -0.0
    19  -0.000  -0.000 -0.0
    20  -0.000   0.000 -0.0
    21  -0.000  -0.000  0.0
    22   0.000  -0.000  0.0
    23  -0.000  -0.000  0.0
    24  -0.415  -0.011  0.0
    25   0.011  -0.415 -0.0
    26   0.000  -0.000  0.0
    27  -0.000  -0.000 -0.0
    28  -0.000   0.000 -0.0
    29   0.000   0.000 -0.0
    30  -0.540  13.506  0.0
    31 -13.506  -0.540  0.0
    32  -0.000  -0.000  0.0
    33  -0.012   0.295 -0.0
    34  -0.295  -0.012 -0.0
    35   0.000   0.000  0.0
    36  -0.000   0.000 -0.0
    37  -0.000  -0.000  0.0
    38  -0.000   0.000  0.0
    39  -0.000  -0.000  0.0
    40  -0.000   0.000 -0.0
    41   0.000   0.000  0.0
    42   0.002  -0.053 -0.0
    43  -0.053  -0.002  0.0
    44  -0.008   0.209 -0.0
    45  -0.209  -0.008 -0.0
    46  -0.000   0.000  0.0
    47  -0.005   0.118  0.0
    48  -0.118  -0.005  0.0
    49   0.000   0.000 -0.0
    50  13.086  -0.306 -0.0
    51   0.306  13.086  0.0
    52   0.000  -0.000  0.0
    53  -0.000  -0.000 -0.0
    54   0.000   0.000  0.0
    55  -0.000   0.000 -0.0
    56   0.000   0.000  0.0
    57   0.335  -8.325  0.0
    58   8.325   0.335  0.0
    59   0.000   0.000 -0.0
    60  -0.000  -0.000 -0.0
    61   0.000  -0.000 -0.0
    62   3.378   0.141  0.0
    63  -0.141   3.378 -0.0
    64   0.000  -0.000  0.0
    65   0.245  -6.117 -0.0
    66   6.117   0.245 -0.0
    67  -0.000  -0.000  0.0
    68   0.000   0.000 -0.0
    69   0.008  -0.194  0.0
    70   0.194   0.008  0.0
    71  -0.000  -0.000 -0.0
    72   0.007  -0.202 -0.0
    73  -0.202  -0.007  0.0
    74  -0.000   0.000  0.0
    75   0.000   0.000 -0.0
    76  -0.000  -0.000  0.0
    77  -0.018   0.418  0.0
    78  -0.418  -0.018  0.0
    79  -0.001   0.021  0.0
    80   0.021   0.001 -0.0
    81   0.000  -0.000  0.0
    82  -0.000  -0.000 -0.0
    83   0.000   0.000 -0.0
    84  -0.000   0.000  0.0
    85   0.000  -0.000 -0.0
    86  -0.000  -0.000 -0.0
    87  -0.000   0.002 -0.0
    88   0.002   0.000  0.0
    89   0.000  -0.000  0.0
    90  -0.000  -0.000 -0.0
    91  -0.000  -0.000 -0.0
    92   0.000  -0.000 -0.0
    93   0.000  -0.000  0.0
    94  -0.000  -0.000 -0.0
    95   0.001  -0.025 -0.0
    96   0.025   0.001 -0.0
    97   0.000  -0.000  0.0
    98   0.000   0.000 -0.0
    99   0.000  -0.000  0.0
   100   0.000   0.000  0.0
   101   0.000  -0.000 -0.0
   102  -0.000  -0.000 -0.0
   103   0.000  -0.000  0.0
   104   0.000   0.000 -0.0
   105  -0.000   0.000  0.0
   106  -0.000  -0.000  0.0
   107   0.001  -0.011 -0.0
   108   0.011   0.001 -0.0
   109  -0.013  -0.000 -0.0
   110   0.000  -0.013  0.0
   111  -0.000   0.000  0.0
   112   0.000  -0.000 -0.0
   113  -0.000   0.000 -0.0
   114  -0.000  -0.000 -0.0
   115  -0.000  -0.000 -0.0
   116   0.000  -0.000 -0.0
   117   0.000   0.000  0.0
   118  -0.000   0.000  0.0
   119  -0.000  -0.000 -0.0
   120  -0.000  -0.000  0.0
   121   0.000  -0.007 -0.0
   122  -0.007  -0.000  0.0
   123  -0.000   0.000  0.0
   124  -0.000  -0.000 -0.0
   125   0.000  -0.000  0.0
   126   0.000  -0.000 -0.0
   127   0.000   0.000 -0.0
   128   0.000  -0.000  0.0
   129  -0.000  -0.000  0.0
   130   0.000   0.000 -0.0
   131  -0.000   0.000 -0.0
   132   0.024  -0.463 -0.0
   133  -0.463  -0.024  0.0
   134  -0.000  -0.000  0.0
   135  -0.000   0.000 -0.0
   136  -0.000  -0.000  0.0
   137  -0.000   0.000  0.0
   138  -0.000   0.000  0.0
   139   0.000   0.000 -0.0
   140  -0.000   0.000 -0.0
   141   0.000   0.000 -0.0
   142  -0.001   0.001 -0.0
   143   0.001   0.001  0.0
   144   0.000  -0.000  0.0
   145   0.000   0.000 -0.0
   146  -0.000  -0.000 -0.0
   147  -0.024   0.585 -0.0
   148  -0.585  -0.024 -0.0
   149  -0.004   0.045  0.0
   150   0.045   0.004 -0.0
   151   0.000   0.000  0.0
   152  -0.000   0.000  0.0
   153   0.000   0.000 -0.0
   154  -0.000  -0.000 -0.0
   155   0.009  -0.219 -0.0
   156   0.219   0.009 -0.0
   157  -0.000   0.000 -0.0
   158  -0.000   0.000  0.0
   159   0.000   0.000 -0.0
   160   0.000   0.000  0.0
   161  -0.000   0.000  0.0
   162  -0.032  -0.001  0.0
   163   0.001  -0.032 -0.0
   164  -0.000  -0.000 -0.0
   165  -0.381  -0.017  0.0
   166  -0.017   0.381  0.0
   167  -0.000  -0.000 -0.0
   168  -0.000  -0.000 -0.0
   169   0.000  -0.000 -0.0
   170  -0.007  -0.000  0.0
   171   0.000  -0.007 -0.0
   172   0.000  -0.000  0.0
   173  -0.000   0.000 -0.0
   174  -0.000  -0.000 -0.0
   175   0.000   0.000  0.0
   176   0.000  -0.000  0.0
   177   1.423   0.037 -0.0
   178  -0.037   1.423  0.0
   179   0.000   0.000 -0.0
   180  -0.572  -0.026 -0.0
   181  -0.026   0.572 -0.0
   182   0.000  -0.000  0.0
   183   0.000   0.000 -0.0
   184   0.108   0.003 -0.0
   185  -0.003   0.108  0.0
   186  -0.000   0.000  0.0
   187   0.000   0.000  0.0
   188   0.006   0.000  0.0
   189  -0.000   0.006 -0.0
   190   0.000   0.000 -0.0
   191   0.000   0.000 -0.0
   192  -0.000   0.000 -0.0
   193   0.000  -0.000 -0.0
   194   0.000   0.000 -0.0
   195   0.013  -0.322 -0.0
   196   0.322   0.013 -0.0
   197  -0.000  -0.000 -0.0
   198   0.000  -0.000  0.0
   199   0.012  -0.147  0.0
   200   0.147   0.012  0.0

