--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  mnf_6_6.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
-0.818 -0.818 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part       unpairedorb amplitude      e    socc     lk   s2
    1      1  1A1   0.0   0.0 15,16,17,18,19,20       1.0    0.0     0.0    0.0 12.0
    2      1  1B2  0.02 99.98 15,16,17,18,19,22      0.84  4.599  149.24 -0.558 12.0
    2      2  1B2  0.02 99.98 15,16,18,19,20,22      0.54  4.599  149.24 -0.558 12.0
    3      1  1B1  0.02 99.98 15,16,17,18,19,21      0.84  4.599  149.24 -0.558 12.0
    3      2  1B1  0.02 99.98 15,16,18,19,20,21      0.54  4.599  149.24 -0.558 12.0
    8      1  2B1  0.08 99.92 15,16,17,18,19,27      0.79   9.58  58.082 -0.047 12.0
    8      2  2B1  0.08 99.92 15,16,18,19,20,27      0.59   9.58  58.082 -0.047 12.0
    9      1  2B2  0.08 99.92 15,16,17,18,19,28      0.79   9.58  58.082 -0.047 12.0
    9      2  2B2  0.08 99.92 15,16,18,19,20,28      0.59   9.58  58.082 -0.047 12.0
   10      1  3B2  0.49 99.51 15,16,18,19,20,22      0.82 10.153  31.623  0.093 12.0
   10      2  3B2  0.49 99.51 15,16,17,18,19,22      0.52 10.153  31.623  0.093 12.0
   11      1  3B1  0.49 99.51 15,16,18,19,20,21      0.82 10.153  31.623  0.093 12.0
   11      2  3B1  0.49 99.51 15,16,17,18,19,21      0.52 10.153  31.623  0.093 12.0
   15      1  4B2 98.12  1.88 14,15,16,18,19,20      0.74 10.851   0.993  0.164 12.0
   15      2  4B2 98.12  1.88 14,15,16,17,18,19      0.66 10.851   0.993  0.164 12.0
   16      1  4B1 98.12  1.88 13,15,16,18,19,20      0.74 10.851   0.993 -0.164 12.0
   16      2  4B1 98.12  1.88 13,15,16,17,18,19      0.66 10.851   0.993 -0.164 12.0
   20      1  5B1  1.32 98.68 16,17,18,19,20,21      0.69  11.23  63.574  -0.26 12.0
   20      2  5B1  1.32 98.68 15,17,18,19,20,22      0.69  11.23  63.574  -0.26 12.0
   21      1  7B2  1.32 98.68 15,17,18,19,20,21      0.69  11.23  63.574  -0.26 12.0
   21      2  7B2  1.32 98.68 16,17,18,19,20,22      0.69  11.23  63.574  -0.26 12.0
   25      1  8B2  0.07 99.93 15,16,17,18,20,24      0.69 13.336 159.248  0.273 12.0
   25      2  8B2  0.07 99.93 15,16,17,18,20,23      0.63 13.336 159.248  0.273 12.0
   26      1  6B1  0.07 99.93 15,16,17,19,20,24      0.69 13.336 159.248 -0.273 12.0
   26      2  6B1  0.07 99.93 15,16,17,19,20,23      0.63 13.336 159.248 -0.273 12.0
   30      1  9B2  0.21 99.79 15,16,17,18,20,23      0.77 15.194  56.393 -0.078 12.0
   30      2  9B2  0.21 99.79 15,16,17,18,20,24       0.6 15.194  56.393 -0.078 12.0
   31      1  7B1  0.21 99.79 15,16,17,19,20,23      0.77 15.194  56.393  0.078 12.0
   31      2  7B1  0.21 99.79 15,16,17,19,20,24       0.6 15.194  56.393  0.078 12.0
   38      1 10B2 99.62  0.38 14,16,17,18,19,20      0.64 16.233  63.251   0.41 12.0
   38      2 10B2 99.62  0.38 13,15,17,18,19,20      0.64 16.233  63.251   0.41 12.0
